½s¸¹,¤g¦a°Ï¬q¦ì¸m,¤g¦a²¾Âà­±¿n¥­¤è¤½¤Ø,¨Ï¥Î¤À°Ï©Î½s©w
RPRNMLSJJHNFFDM09CA,«á®H¤l¬q¤ô¨®¤p¬q,57.67,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¤ô§Q¥Î¦a
RPRNMLSJJHNFFDM09CA,«á®H¤l¬q¤ô¨®¤p¬q,694.00,«D³£¥«¡G¯S©w¹A·~°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPRNMLSJJHNFFDM09CA,«á®H¤l¬q¤ô¨®¤p¬q,12.00,«D³£¥«¡G¯S©w¹A·~°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPRNMLSJJHNFFDM09CA,«á®H¤l¬q¤ô¨®¤p¬q,3007.00,«D³£¥«¡G¯S©w¹A·~°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPRNMLSJJHNFFDM09CA,¤¤¦{¬q,120.45,«D³£¥«¡G¯S©w¹A·~°Ï ; «D³£¥«½s©w¡G¥ÒºØ«Ø¿v¥Î¦a
RPRNMLSJJHNFFDM09CA,¤¤¦{¬q,41.85,«D³£¥«¡G¯S©w¹A·~°Ï ; «D³£¥«½s©w¡G¥ÒºØ«Ø¿v¥Î¦a
RPRNMLSJJHNFFDM09CA,¤¤¦{¬q,7.15,«D³£¥«¡G¯S©w¹A·~°Ï ; «D³£¥«½s©w¡G¥æ³q¥Î¦a
RPRNMLSJJHNFFDM09CA,¤¤¦{¬q,9.16,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¤ô§Q¥Î¦a
RPPNMLSJJHNFFEM98CA,¤ô¨½¬q,14.00,³£¥«¡G¨ä¥L
RPPNMLSJJHNFFEM98CA,¤ô¨½¬q,9.00,³£¥«¡G¨ä¥L
RPSNMLMKJHNFFCM58CA,ªê¥J¦Õ¬q,151.24,«D³£¥«¡G¶m§ø°Ï ; «D³£¥«½s©w¡G¤AºØ«Ø¿v¥Î¦a
RPQNMLPJJHNFFDM68CA,¼s¿³¬q,11.18,³£¥«¡G¦í
RPQNMLPJJHNFFDM68CA,¼s¿³¬q,65.10,³£¥«¡G¦í
RPQNMLPJJHNFFDM68CA,¼s¿³¬q,.68,³£¥«¡G¦í
RPSNMLPJJHNFFEM98CA,Àô¤s¬q,354.17,³£¥«¡G¦í
RPSNMLPJJHNFFEM98CA,Àô¤s¬q,243.14,³£¥«¡G¹A
RPSNMLPJJHNFFEM98CA,Àô¤s¬q,181.23,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPSNMLPJJHNFFEM98CA,Àô¤s¬q,8.44,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPPNMLNJJHNFFEM48CA,¤¤·¾¬q,733.05,³£¥«¡G¹A
RPPNMLNJJHNFFEM48CA,¤¤·¾¬q,680.24,³£¥«¡G¹A
RPQNMLNLJHNFFDM68CA,·s©M¬q,352.13,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPPNMLPJJHNFFEM68CA,¥_®H¬q,142.44,³£¥«¡G¦í
RPPNMLPJJHNFFCM58DA,±öªL¬q,17.70,³£¥«¡G¦í
RPQNMLPLJHNFFCM78CA,©¾­s¬q,19.66,³£¥«¡G¦í
RPTNMLRKJHNFFEM86DA,¥_®H¬q,126.12,³£¥«¡G¦í
RPTNMLRKJHNFFEM86DA,¥_®H¬q,126.22,³£¥«¡G¦í
RPUNMLOJJHNFFCM98DA,·RÄõ¬q,308.40,«D³£¥«¡G¶m§ø°Ï ; «D³£¥«½s©w¡G¤AºØ«Ø¿v¥Î¦a
RPVNMLRKJHNFFEM07DA,¥_®H¬q,138.90,³£¥«¡G¦í
RPRNMLMLJHNFFDM68CA,·s©M¬q,93.27,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPRNMLMLJHNFFDM68CA,·s©M¬q,239.62,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPUNMLRKJHNFFEM96DA,¥_®H¬q,126.41,³£¥«¡G¦í
RPWNMLRKJHNFFEM17DA,¥_®H¬q,125.89,³£¥«¡G¦í
RPTNMLSJKHNFFCM66CA,ÀRÆ[¬q,12310.00,«D³£¥«¡G´ËªL°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPTNMLTJJHNFFDM76CA,¤j§|¬q¤j§|¤p¬q,144.00,«D³£¥«¡G¤@¯ë¹A·~°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPTNMLTJJHNFFDM76CA,¤j§|¬q¤j§|¤p¬q,144.00,«D³£¥«¡G¤@¯ë¹A·~°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPTNMLTJJHNFFDM76CA,¤j§|¬q¤j§|¤p¬q,144.00,«D³£¥«¡G¤@¯ë¹A·~°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPQNMLNJJHNFFDM48CA,ÃU³½§À¬q,4910.00,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPTNMLQLJHNFFDM66CA,®HÀY¬q,21.55,³£¥«¡G¦í
RPTNMLQLJHNFFDM66CA,®HÀY¬q,5.32,³£¥«¡G¦í
RPTNMLQLJHNFFDM66CA,®HÀY¬q,88.00,³£¥«¡G¦í
RPTNMLQLJHNFFDM66CA,®HÀY¬q,3.86,³£¥«¡G¦í
RPPNMLOJJHNFFDM48CA,¶³ªL¬q,756.00,³£¥«¡G¦í
RPQNMLMKJHNFFDM48CA,¦Ë³ò¤l¬qúÀúË¤p¬q,175.00,³£¥«¡G¦í
RPUNMLSJKHNFFCM76CA,ÀRÆ[¬q,5330.00,«D³£¥«¡G´ËªL°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPQOMLPKJHNFFCM78CA,ªê¥J¦Õ¬q,132.43,«D³£¥«¡G¶m§ø°Ï ; «D³£¥«½s©w¡G¤AºØ«Ø¿v¥Î¦a
RPQNMLOJJHNFFDM58CA,¦w©w¬q,164.15,³£¥«¡G¦í
RPSNMLOJJHNFFDM78CA,µÐ´£¬q,273.00,³£¥«¡G¦í
RPWNMLPKJHNFFCM66CA,«n¿³¬q,76.63,³£¥«¡G¦í
SPUNMLTJJHNFFCM86CA,¥Ûªù¬q,14.23,³£¥«¡G¦í
RPWNMLPJJHNFFCM56CA,²pÀY¦y¬q,1100.04,³£¥«¡G¹A
RPRPMLOJJHNFFCM78CA,¥_¤s§|¬q,2619.00,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPPOMLSJJHNFFCM88CA,¤¤¿³¬q,1808.32,³£¥«¡G¨ä¥L
RPROMLKKJHNFFAM18CA,¥ú¤j¬q,17.40,³£¥«¡G¦í
RPROMLKKJHNFFAM18CA,¥ú¤j¬q,88.55,³£¥«¡G¦í
RPUNMLTJJHNFFCM76CA,¥Ûªù¬q,110.62,³£¥«¡G¦í
RPXNMLPJJHNFFCM66CA,¤ôªø¬y¬q,179.00,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPRNMLOJJHNFFAM38CA,¥]§À¬q,54.40,³£¥«¡G¹A
RPRNMLNJJHNFFAM28CA,Às²´ªL¬q,14986.00,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡GªL·~¥Î¦a
RPRNMLNJJHNFFAM28CA,Às²´ªL¬q,6499.00,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡GªL·~¥Î¦a
RPQNMLPJJHNFFAM38CA,·s¤}¾c¬q,3592.00,«D³£¥«¡G¤@¯ë¹A·~°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPPOMLKKJHNFFAM97CA,«n§ë¬q,59.00,³£¥«¡G¦í
RPUNMLOJJHNFFAM68CA,¤À¤ô¼d¬q,38.99,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡GªL·~¥Î¦a
RPUNMLOJJHNFFAM68CA,¤À¤ô¼d¬q,2211.00,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡GªL·~¥Î¦a
RPRNMLMLJHNFFBM48CA,±N­x¬q,3011.20,³£¥«¡G¹A
RPPNMLLMJHNFFAM18CA,¥úºa¬q,88.23,³£¥«¡G¦í
RPPNMLLMJHNFFAM18CA,¥úºa¬q,4.81,³£¥«¡G¦í
RPUNMLOJJHNFFBM78CA,¥_§ë¬q,3704.00,«D³£¥«¡G¯S©w¹A·~°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPWNMLOJJHNFFCM09CA,¥_¤s§|¬q,1278.00,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPWNMLOJJHNFFCM09CA,¥_¤s§|¬q,2500.00,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPWNMLOJJHNFFCM09CA,¥_¤s§|¬q,2541.00,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPWNMLOJJHNFFCM09CA,¥_¤s§|¬q,368.00,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPWNMLOJJHNFFCM09CA,¥_¤s§|¬q,748.00,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPPNMLOLJHNFFBM48CA,¥_§ë®H¬q,1080.00,«D³£¥«¡G¯S©w¹A·~°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPVNMLOJJHNFFCM98CA,ºa¥ú¬q,478.52,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¤þºØ«Ø¿v¥Î¦a
RPTNMLQLJHNFFAM98CA,¤j±^¬q,14.85,«D³£¥«¡G¤u·~°Ï ; «D³£¥«½s©w¡G¤BºØ«Ø¿v¥Î¦a
RPVNMLRKJHNFFAM56CA,«n§ë¬q,14.43,³£¥«¡G¦í
RPXNMLOJJHNFFCM56CA,·RÄõ¬q,101.19,«D³£¥«¡G¶m§ø°Ï ; «D³£¥«½s©w¡G¤AºØ«Ø¿v¥Î¦a
RPXNMLOJJHNFFCM56CA,·RÄõ¬q,1.38,«D³£¥«¡G¶m§ø°Ï ; «D³£¥«½s©w¡G¤AºØ«Ø¿v¥Î¦a
RPPNMLRLJHNFFAM68CA,¤À¤ô¼d¬q,3631.00,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡GªL·~¥Î¦a
RPTNMLTLJHNFFAM66CA,¤À¤ô¼d¬q,663.00,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡GªL·~¥Î¦a
RPTNMLTLJHNFFAM66CA,¤À¤ô¼d¬q,337.00,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡GªL·~¥Î¦a
RPQNMLSJJHNFFBM78CA,¤¤¿³¬q,94.00,³£¥«¡G¦í
RPRNMLQKJHNFFBM78CA,²»©M¬q,84.02,«D³£¥«¡G¶m§ø°Ï ; «D³£¥«½s©w¡G¤AºØ«Ø¿v¥Î¦a
RPXNMLMJKHNFFAM88CA,¨®ÀY¬q,2536.21,³£¥«¡G¹A
RPXNMLMJKHNFFAM88CA,¨®ÀY¬q,160.86,³£¥«¡G¹A
RPPNMLTKJHNFFAM78CA,Às²´ªL¬q,193.00,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¯S©w¥Øªº¨Æ·~¥Î¦a
RPRNMLSJJHNFFBM88CA,¯ó¤Ù¬q,33.00,³£¥«¡G¦í
RPXQMLOLJHNFFBM96CA,¤¤­ì¬q,124.78,«D³£¥«¡G¶m§ø°Ï ; «D³£¥«½s©w¡G¤AºØ«Ø¿v¥Î¦a
RPXQMLOLJHNFFBM96CA,¤¤­ì¬q,22.93,«D³£¥«¡G¶m§ø°Ï ; «D³£¥«½s©w¡G¤AºØ«Ø¿v¥Î¦a
RPSNMLNLJHNFFAM58CA,¥ú¿³¬q,95.63,³£¥«¡G¦í
RPOOMLPLJHNFFAM48CA,¤¤¼d¬q,536.50,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPOOMLPLJHNFFAM48CA,¤¤¼d¬q,104.69,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G°ê¤g«O¦w¥Î¦a
RPOOMLPLJHNFFAM48CA,¤¤¼d¬q,24.75,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G°ê¤g«O¦w¥Î¦a
RPOOMLPLJHNFFAM48CA,¤¤¼d¬q,134.56,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G°ê¤g«O¦w¥Î¦a
RPOOMLPLJHNFFAM48CA,¤¤¼d¬q,129.75,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G°ê¤g«O¦w¥Î¦a
RPOOMLPLJHNFFAM48CA,ªø¦w¬q,70.87,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPRNMLKKJHNFFAM08CA,¦W¤s¬q,6.06,³£¥«¡G¨ä¥L
RPRNMLKKJHNFFAM08CA,¦W¤s¬q,1884.67,³£¥«¡G¨ä¥L
RPVNMLSJJHNFFAM56CA,¤T¶ô­í¬q,46.00,«D³£¥«¡G ; «D³£¥«½s©w¡G
RPRNMLPJJHNFFAM48CA,·s«n¬q,110.59,«D³£¥«¡G¶m§ø°Ï ; «D³£¥«½s©w¡G¤AºØ«Ø¿v¥Î¦a
RPUPMLOJJHNFFCM09CA,·s¿³¬q,1323.06,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPRNMLPKJHNFFCM78CA,¤ô§À¬q,155.00,«D³£¥«¡G¯S©w¹A·~°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPRNMLPKJHNFFCM78CA,¤ô§À¬q,684.00,«D³£¥«¡G¯S©w¹A·~°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPRNMLPKJHNFFCM78CA,¤ô§À¬q,1256.00,«D³£¥«¡G¯S©w¹A·~°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPRNMLPKJHNFFCM78CA,¤ô§À¬q,214.00,«D³£¥«¡G¯S©w¹A·~°Ï ; «D³£¥«½s©w¡G¥ÒºØ«Ø¿v¥Î¦a
RPRNMLPKJHNFFCM78CA,¤ô§À¬q,133.00,«D³£¥«¡G¯S©w¹A·~°Ï ; «D³£¥«½s©w¡G¥ÒºØ«Ø¿v¥Î¦a
RPPNMLSJJHNFFDM88CA,¤¤¦{¬q,270.97,«D³£¥«¡G¯S©w¹A·~°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPSNMLSJJHNFFCM09CA,¤K¼w¬q,37.98,³£¥«¡G¦í
RPTNMLOLJHNFFAM78CA,¤j±^¬q,115.00,«D³£¥«¡G¤u·~°Ï ; «D³£¥«½s©w¡G¤BºØ«Ø¿v¥Î¦a
RPTOMLSJJHNFFCM66CA,¥_´ä·Ë¬q,212.00,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¤þºØ«Ø¿v¥Î¦a
RPTOMLSJJHNFFCM66CA,¥_´ä·Ë¬q,213.00,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¤þºØ«Ø¿v¥Î¦a
RPTOMLSJJHNFFCM66CA,¥_´ä·Ë¬q,213.00,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¤þºØ«Ø¿v¥Î¦a
RPTOMLSJJHNFFCM66CA,¥_´ä·Ë¬q,212.00,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¤þºØ«Ø¿v¥Î¦a
RPPOMLNLJHNFFCM58CA,¥Á¥Í¬q,199.44,³£¥«¡G¹A
RPPOMLNLJHNFFCM58CA,¥Á¥Í¬q,88.52,³£¥«¡G¹A
RPRNMLPJJHNFFEM88CA,¼s©ú¬q,1728.04,³£¥«¡G¦í
RPRNMLPJJHNFFEM88CA,¼s©ú¬q,1349.64,³£¥«¡G¦í
RPQNMLTJJHNFFDM09CA,¤¤¦{¬q,.63,«D³£¥«¡G¯S©w¹A·~°Ï ; «D³£¥«½s©w¡G¤ô§Q¥Î¦a
RPQNMLTJJHNFFDM09CA,¤¤¦{¬q,2.14,«D³£¥«¡G¯S©w¹A·~°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPPNMLTJJHNFFEM09CA,Àô¤s¬q,241.79,³£¥«¡G¨ä¥L
RPPNMLTJJHNFFEM09CA,Àô¤s¬q,108.97,³£¥«¡G¨ä¥L
RPPNMLTJJHNFFEM09CA,Àô¤s¬q,58.75,³£¥«¡G¦í
RPRNMLSJJHNFFCM09DA,¬a¤lªL¬q,6124.00,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPQNMLKKJHNFFEM38CA,·s«°¬q,143.00,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¤þºØ«Ø¿v¥Î¦a
RPSNMLKKJHNFFCM48DA,±öªL¬q,151.12,³£¥«¡G¦í
RPRNMLKKJHNFFCM38DA,±öªL¬q,136.97,³£¥«¡G¦í
RPRNMLKKJHNFFCM38DA,±öªL¬q,151.12,³£¥«¡G¦í
RPQNMLSJJHNFFCM88CA,©¾­s¬q,76.78,³£¥«¡G¦í
RPPNMLTJJHNFFAM78DA,¥ýÅX¬q,24189.00,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPPNMLKKJHNFFEM28CA,°p§|¬q,6510.00,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPUOMLSJJHNFFCM86DA,ªê¥J¦Õ¬q,225.00,«D³£¥«¡G¶m§ø°Ï ; «D³£¥«½s©w¡G¤AºØ«Ø¿v¥Î¦a
RPSNMLTJJHNFFDM66CA,¥­¥¿¬q,4690.41,«D³£¥«¡G¯S©w¹A·~°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPRNMLMKJHNFFDM58CA,¤j§|¬q¤j§|¤p¬q,2232.00,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPRNMLMKJHNFFDM58CA,¤j§|¬q¤j§|¤p¬q,1719.00,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPRNMLMKJHNFFDM58CA,¤j§|¬q¤j§|¤p¬q,55.00,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPQOMLSKJHNFFCM09CA,·Ë«n¬q,2930.59,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡GªL·~¥Î¦a
RPQOMLSKJHNFFCM09CA,·Ë«n¬q,1423.50,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡GªL·~¥Î¦a
RPQOMLSKJHNFFCM09CA,·Ë«n¬q,4356.18,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¼È¥¼½s©w
RPPNMLMJKHNFFCM28CA,Ä_´ò¸]¬q,152.50,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¤þºØ«Ø¿v¥Î¦a
RPPNMLMJKHNFFCM28CA,Ä_´ò¸]¬q,152.50,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¤þºØ«Ø¿v¥Î¦a
RPPNMLMJKHNFFCM28CA,Ä_´ò¸]¬q,152.50,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¤þºØ«Ø¿v¥Î¦a
RPPNMLMJKHNFFCM28CA,Ä_´ò¸]¬q,152.50,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¤þºØ«Ø¿v¥Î¦a
RPTNMLSJJHNFFCM56CA,ÃU³½¼æ¬q,1583.92,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¤þºØ«Ø¿v¥Î¦a
RPWNMLNLJHNFFCM66DA,®H¨½¬q«H¸q¤p¬q,78.00,³£¥«¡G¦í
RPUOMLSKJHNFFCM86CA,·RÄõ¬q,46.44,«D³£¥«¡G¶m§ø°Ï ; «D³£¥«½s©w¡G¤AºØ«Ø¿v¥Î¦a
RPUOMLSKJHNFFCM86CA,·RÄõ¬q,19.52,«D³£¥«¡G¶m§ø°Ï ; «D³£¥«½s©w¡G¤AºØ«Ø¿v¥Î¦a
